study;sample;Larcenist_type;type_study;Larcenist_behavior;tips_phylo;sp_plant;sp_genus;plant_family;self_compatible;players;Type_of_metric;n_larcenist;mean_larcenist;sd_larcenist;n_control;mean_control;sd_control;yi;vi
Hazlehurst&Karubian_2016;94;Thieves;Experimental;Experimental;Oreocallis_grandiflora;Oreocallis_grandiflora;Oreocallis;Proteaceae;yes;bird-bird;female;15;12.98;0.89078617;15;13.7;0.968245837;-0.053986122;0.000646979
Hazlehurst&Karubian_2016;263;Thieves;Experimental;Experimental;Oreocallis_grandiflora;Oreocallis_grandiflora;Oreocallis;Proteaceae;yes;bird-bird;nectar;14;4.88;0.138975846;14;4.82;0.120267559;0.012371292;0.000102402
Hazlehurst&Karubian_2016;95;Thieves;Experimental;Experimental;Oreocallis_grandiflora;Oreocallis_grandiflora;Oreocallis;Proteaceae;yes;bird-bird;female;15;0.023;3.87E-04;15;0.021;3.87E-04;0.090971778;4.16E-05
Hazlehurst&Karubian_2016;264;Thieves;Experimental;Experimental;Oreocallis_grandiflora;Oreocallis_grandiflora;Oreocallis;Proteaceae;yes;bird-bird;nectar;14;43.33;3.062813832;14;31.13;0.606683019;0.330673251;0.00038402
Hazlehurst&Karubian_2016;96;Thieves;Experimental;Experimental;Oreocallis_grandiflora;Oreocallis_grandiflora;Oreocallis;Proteaceae;yes;bird-bird;visitation;10;1.07;1.77087549;10;0.53;1.075174404;0.702536921;0.685444739
Heillingetal_2018;97;Robbers;Non-Experimental;Facultative;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;yes;insect-insect;visitation;77;0.05;0.6;77;0.08;0.09;-0.470003629;1.886566558
Heillingetal_2018;98;Robbers;Non-Experimental;Facultative;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;yes;insect-insect;visitation;77;1.08;0.15;77;1.47;0.18;-0.30830136;0.000445245
Heillingetal_2018;99;Robbers;Non-Experimental;Facultative;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;yes;insect-insect;visitation;77;1.07;0.15;77;1.24;0.13;-0.147452731;0.000397968
Heillingetal_2018;100;Robbers;Experimental;Facultative;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;yes;insect-insect;female;5;6.73;1.04;5;7.56;0.83;-0.116296047;0.007186721
Heillingetal_2018;101;Robbers;Non-Experimental;Facultative;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;yes;insect-insect;female;15;57.6;2.2;15;60.4;2.7;-0.047466537;0.000230472
Heillingetal_2018;102;Robbers;Experimental;Facultative;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;yes;insect-insect;female;5;0.73;0.05;5;0.74;0.04;-0.013605652;0.00152263
Heillingetal_2018;103;Robbers;Experimental;Facultative;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;yes;insect-insect;female;5;28.16;1.01;5;24.83;0.96;0.125849932;0.000556245
Higashietal;104;Robbers;Non-Experimental;Facultative;Corydalis_ambigua;Corydalis_ambigua;Corydalis;Papaveraceae;yes;insect-insect;female;221;24.6;25.5;32;63.7;31.9;-0.95143812;0.012699081
